å være;быть
å ha;иметь
å gjøre;делать
å si;говорить
å se;видеть
å komme;приходить
å gå;идти
å spise;есть
å drikke;пить
å sove;спать
å vite;знать
å forstå;понимать
å snakke;говорить
å elske;любить
å like;нравиться
å jobbe;работать
å bo;жить
å lære;учить
å trene;тренироваться
å spørre;спрашивать
å svare;отвечать
å høre;слышать
å leke;играть
å synes;считать
å bety;означать
å besøke;посещать
å kjøpe;покупать
å selge;продавать
å åpne;открывать
å lukke;закрывать
å starte;начинать
å slutte;заканчивать
å hjelpe;помогать
å finne;находить
å lete;искать
å ta;брать
å gi;давать
å få;получать
å bruke;использовать
å trenge;нуждаться
å prøve;пытаться
å huske;помнить
å glemme;забывать
å vinne;выигрывать
å tape;проигрывать
å smile;улыбаться
å le;смеяться
å gråte;плакать
å vente;ждать
