В сегодняшних...;I dagens...
мы встречаем слово "цифровой" в постоянно новых контекстах;vi ordet digital i stadig nye sammenhenger
Мы можем упомянуть;Vi kan nevne
коммуникация;en kommunikasjon -- kommunikasjoner
ряд мест;en rekke steder
в повседневной жизни;i hverdagen
в первую очередь;i første omgang
связывать;å forbinde -- forbant -- forbundet
большинство;fleste
большинство электронных устройств;de fleste elektroniske apparater
происхождение;en opprinnelse -- opprinnelser
Происхождение слова "цифровой" comes from Latin, and the word means "палец";Opprinnelsen til ordet digital kommer fra latin, og ordet betyr finger
В более свободном переводе;I en friere oversettelse
работать;å arbeide -- arbeidet -- arbeidet
Такая система;Et slikt system
число;et tall -- tall
значение;en verdi -- verdier
между двумя целыми числами;mellom to hele tall
противоположность;en motsetning -- motsetninger
непрерывно переменные значения;kontinuerlig variable verdier
Примеры продуктов, которые существуют как в «механической», так и в цифровой версии;Eksempler på produkter som finnes både i «mekanisk» og digital utgave
Спидометр со стрелкой;Speedometer med viser
виниловая пластинка;ei vinylplate -- vinylplater
Умлые лампочки;Smarte lyspærer
подключать;å koble -- koblet -- koblet
лампочки, которые можно подключить к беспроводной сети и управлять дистанционно;lyspærer som kan kobles til et trådløst nett og fjernstyres
Примеры того, как числа представляются в цифровом виде;Eksempler på hvordan tall blir representert digitalt
двоичные;binære
десятичная система;titallsystemet
Базовое значение в ... это ...;Grunnverdien i ... er ...
сохранять;å lagre -- lagret -- lagret
звук;en lyd -- lyder
Если мы посмотрим на ... меня ... , мы увидим, что ...;Hvis vi ser på ... meg ... , vil vi se at ...
поверхность;en overflate -- overflater
состоит из;består av
яма, углубление;ei grop -- groper
CD-диск;CD-platen
переводить на ...;oversette til ...
Компьютер в форме ПК;En datamaskin i form av en PC
является одной из самых продвинутых систем, с которыми мы сталкиваемся в повседневной жизни;er av de mest avanserte systemene vi møter i hverdagen
Все, что происходит внутри машины ...;Alt som skjer inne i maskinen ...
основано на ...;er basert på ...
Использование ... делает относительно простым создание ...;Bruk av ... gjør det relativt enkelt å lage ...
Создавать компьютер;Å lage en datamaskin
с современными технологиями было бы невозможно;med dagens teknologi være umulig
или в лучшем случае очень сложно;eller i beste fall svært vanskelig
виниловая пластинка;ei vinylplate -- vinylplater
самый обычный;vanligst
звуковая система;et lydsystem -- lydsystemer
сохранять;å lagre -- lagret -- lagret
Если мы посмотрим ближе на ... мы увидим, что ..;Hvis vi ser nærmere på ... vil vi se at ..
на самом деле;i virkeligheten
след, дорожка;ett spor -- spor
который разработан;som er utformet
записан на пластинку;er spilt inn på platen
позволять;å la -- lot -- latt
затем делается;så gjøres
движение;en bevegelse -- bevegelser
может затем быть сделано;kan så gjøres
усилитель;en forsterker -- forsterkere
в колонках;i høyttalerne
Какие преимущества мы тогда имеем от использования ..;Hvilke fordeler har vi så av å bruke ..
преимущество;en fordel -- fordeler
Возможность создавать продвинутые системы;Mulighet for å lage avanserte systemer
возможный;mulig
выполнять;å utføre -- utførte -- utført
программируемые системы;programmerbare systemer
изменять;å endre -- endret -- endret
программное обеспечение;en programvare -- programmer
оно управляет;det styrer
Высокое качество;Høy kvalitet
требовать;å kreve -- krevde -- krevd
Они требуют меньше места как при хранении, так и при передаче;De krever mindre plass både ved lagring og overføring
дополнительные данные, которые описывают звук и изображения;ekstra data som beskriver lyden og bildene
Быстрый доступ;Rask tilgang
информацию можно извлечь молниеносно;informasjon kan hentes frem lynraskt
В 90-е годы...;På 90-tallet...
было обычным делом использовать ...;det var vanlig å bruke ...
дискеты размером 5 дюймов;disketter med en størrelse på 5 sm.
Если бы сегодня кто-то попытался ...;Hvis man i dag skulle prøve å ...
вероятно, пришлось бы поискать какое-то время, чтобы найти ПК;ville man nok måtte lete en stund for å finne en PC
некоторое время;en stund
подходящий дисковод;passende diskettstasjon
собирательное обозначение;en samlebetegnelse -- samlebetegnelser
различные цифровые технологии;ulike digitale teknologier
защищенный авторским правом;opphavsrettsbeskyttet
возможность использования;en bruksmulighet -- bruksmuligheter
иметь целью ограничить;å ha mål å begrense
Недостатки цифрового оборудования;Ulemper med digitalt utstyr
оборудование;et utstyr -- utstyr
недостаток;en ulempe -- ulemper
Само собой разумеется, что;Det er selvfølgelig, at
У цифровых систем, конечно, есть не только преимущества.;Det er selvfølgelig ikke bare fordeler med digitale systemer.
Большой недостаток;En stor ulempe
опасность;en fare -- farer
потеря данных;tap av data
не может быть использовано в системе;ikke lar seg bruke i system
выходить из строя;å svikte -- sviktet -- sviktet
собирать много информации;å samle mye informasjon
последствие;en konsekvens -- konsekvenser
ПК ломается или теряется;PC går i stykker eller mistes
досадно;kjedelig
Еще хуже может быть, если ...;Enda verre kan det være hvis ...
Иногда это может ...;Enkelte ganger kan det ...
создавать проблемы;å skape problemer -- skapte problemer -- skapt problemer
перемещать;å flytte -- flyttet -- flyttet
с одной системы на другую;fra ett system til et annet
может быть (сделано);lar seg
Порт 80 не открывается;Port 80 lar seg ikke åpne
необходимое программное обеспечение;nødvendig programvare
В других случаях ...;I andre tilfeller ...
может быть проблематично получить;kan det være problematisk å få
получить доступ к информации;å få tak i informasjon
физическое оборудование устарело;det fysiske utstyret er gått ut på dato
В дополнение к...;I tillegg til...
интерпретировать данные;å tolke dataene
Мы часто говорим, что ...;Vi sier gjerne at ...
копировать и переносить в другие места;kopiere og overføre til andre steder
без потери качества;uten tap av kvalitet
исходная точка;et utgangspunkt -- utgangspunkt
С другой стороны ...;På den annen side ...
компания;et selskap -- selskaper
бояться, что ...;redd for at ...
стать настолько обычным, что;bli så vanlig at
вводить, внедрять;å innføre -- innførte -- innført
программная ошибка;en programvarefeil -- programvarefeil
управляется программным обеспечением.;er styrt av programvare.
сбой, ошибка в работе;en feilfunksjon -- feilfunksjoner
система зависает;system henger seg opp
Как правило ...;Som regel ...
Как правило, мы можем запустить систему, перезагрузив ее.;Som regel kan vi få i gang systemet med å starte opp på nytt.
Такие ошибки;Slike feil
хорошо известные;velkjente
Такие ошибки хорошо знакомы тому, кто пользовался ПК какое-то время;Slike feil er velkjente for en som har brukt PC en stund
аналогичные ошибки;tilsvarende feil
соответствие, аналог;et tilsvar -- tilsvar
Преимущество этого типа ошибок в том, что ...;Fordelen med denne typen feil er ...
Ошибка чаще всего возникает при высокой нагрузке;Feilen oppstår oftest under høy belastning
сдать все устройство в сервисный центр.;å sende inn hele apparated til service.
понятие, термин;et begrep -- begreper
В связи с ...;I forbindelse med ...
Емкость хранения;Lagringskapasitet
хранение;en lagring -- lagringer
вместимость, емкость;en kapasitet -- kapasiteter
