ungersvenn; svenn
бабушка, бабуля ; bestemor, mormor, farmor
бабушки и дедушки ; besteforeldre
батя ; ≈far
брат ; bror; brødren brødre
братишка ; lillebror
братья и сёстры ; søsken; onp. форма мн. søsknene
внук/внучка ; barnebarn n
двоюродный брат ; fetter
двоюродная сестра ; kusine
двоюродная тётя ; filletante
двоюродные братья и сёстры ; søskenbarn
двоюродный дядя ; filleonkel
дедушка, дед ; bestefar; morfar, farfar
дитя ; barn n — barna
дочь, дочка, доченька ; datter — døtre
дядя ; onkel
кузен foreldr. ; fetter
кузина ; kusine
мама, мамочка ; mamma
мать ; mor — mødren, mødre
отец ; far — faren, fedre
папа, папочка ; pappa
папаша, папан ; fattern
племянник ; nevø
племянница ; niese
правнук/правнучка ; oldebarn n
прабабушка ; oldemor
прадедушка ; oldefar
прапрадедушка ; tippoldefar
прапрабабушка ; tippoldemor
ребёнок ; barn n (onp. форма мн. barna)
родители ; foreldre (en forelder)
родной брат ; kjødelig bror
сестра ; søster — søstre
сестрёнка ; lille søster
сын, сынок ; sønn — sønner
тётя, тётка tal. ; tante (moster, faster)
троюродная сестра, троюродный брат ; tremenning
Ухаживание; Kurtise
У тебя есть девушка/парень? ; Har du (en) kjæreste?
У неё есть кто-то (Она встречается с X.). ; Hun har fast følge (med X.).
Мы помолвлены. ; Vi er forlovet
хорошая партия ; et godt parti, gifte
возлюбленная, возлюбленный ; kjæreste
жених ; brudgom
кавалер ; kavalér, beiler, frier
любимая, любимый ; kjæreste
любовник, любовница ; elsker, elskerinne
наречённая, наречённый ; hans/hennes tilkommende
невеста ; brud
обожатель ; tilbedder
парень ; gutt, kjæreste
подружка (невесты) ; brudepike, brudetern(e)
поклонник ; beundrer
поручитель (при помолвке) ; forlover
свадьба ; bryllup n
сват ; ≈ beilermann (som frier på en annens vegne)
свататься ; fri, beile til
сваха ; ekteskapsformidler
