беременная ; gravid, svanger  
беременность ; svangerskap  
отпуск по беременности и родам ; svangerskapspermisjon  
близнецы ; tvillinger  
воспитатель(ница) ; førskolelærer  
двойня, двойняшки ; tvillinger  
день рождения ; fødselsdag, geburtsdag, bursdag  
дети от прежнего брака ; barn fra tidligere ekteskap  
детский сад; садик tal. ; barnehage  
единственный ребёнок (в семье) ; enebarn n  
колыбель(ка) ; vogge, vugge  
коляска ; barnevogn, babyvogn (лежачая), sportsvogn (сидячая)  
крестить (и дать имя) ; døpe  
крёстная (мать), крёстный (отец) ; gudmor, gudfar  
крёстник, крёстница ; gudsønn, guddatter  
кумовья (кум, кума) ; gudfedre/faddere (gudfar, gudmor) til barna  
манеж ; lekegrind  
мать-одиночка ; enslig mor, alenemor
мачеха ; stemor
молочный брат, молочная сестра ; pleiebror, pleiesøster
«надежда семьи» ; pode
няня, нянька ; barnepike, dadda dem, dagmamma
отчим ; stefаr
падчерица ; stedatter
памперсы ; pampers
пасынок ; stesønn
пелёнка ; bleie
первенец ; førstefødt
подгузник ; bleie
ползунки ; sparkebukser
приёмный ребёнок ; et adoptert barn
род(ильный) дом ; fødeklinikk
роженица ; barselkvinne
сводный брат ; halvbror
сводная сестра ; halvsøster
сводные дети ; sammenbrakte barn
сирота ; et foreldreløst barn
соска ; smokk
сосюкать ; klysse, prate babyprat
тёзка ; navnebror/-søster
тезоименитство (om kongelige) ; navnedag
тройняшки и т.п. ; trillinger, firlinger, femlinger
удочерять, усыновить ; adoptere en pike, en gutt
убаюкивать, укачивать ; bysse (dysse, lulle) i søvn, vogge, vugge
ходунки ; gåstol
ясли ; barnekrybbe, daghjem n
Да будет земля ему пухом. ; Måtte hans sjel hvile i fred.
Здесь покоится прах Н. ; Her hviler N. (Ns jordiske levninger)
Мир праху твоему! ; Hvil i fred!
О мёртвых или хорошо или ничего. ; Om de døde skal man bare tale godt.
Он умер в 1924 году. ; Han døde i 1924.
