У Вас большая семья? ; Er din familie stor?
Он родом из У. ; Han er (barne)født i Y.
близкие pl ; pårørende
близкие ребёнка ; barnets pårørende
поколение ; generasjon
потомок, потомки ; etterkommer, ætling; etterkommere, etterslekt
прародитель ; stamfar
предки ; forfedre; aner; opphav n aytm.
родственник ; slektning
родные ; slektninger, familien
род ; slekt; ætt
свояки ; svogre
Сколько лет + Dat.? ; Hvor gammel er ...?
в расцвете лет ; i sin beste alder
мой младший брат ; min yngste bror
мой старший брат ; min eldste bror
у него есть старший брат ; han har en eldre bror
детство ; barndom
зрелость ; modenhet
менопауза ; overgangsalder
младенчество ; spebarnsalder
молодость ; ungdom
подростковый возраст ; pubertet
преклонный возраст ; fremskreden (høy) alder
старость ; alderdom
юность ; (tidlig) ungdom
баба ; kjerring; kvinnfolk n
взрослый (человек) ; voksen; et voksent menneske
взрослый ; (full)voksen
в летах ; godt voksen
в пожилом возрасте ; i satt alder
грудной ребёнок ; dibarn, spebarn n
дама ; dame
девочка ; pike, småpike
девушка ; ungpike
девчонка ; jente f
долгожитель ; langlivet
женщина ; kvinne
зрелого возраста ; godt voksen
карапуз ; nurk, pjokk
конфирмация ; konfirmasjon
кроха ; smårolling
малыш (о младшем ребёнке) ; ≈ vesla
мальчик ; gutt
Мафусаил ; Metusalem
младенец ; baby
молодой человек ; ung mann
мужчина ; mann
новорождённый, новорождённый ; nyfødt (barn)
парень ; gutt, kar
парнишка ; unggutt
подросток ; tenåring
пожилой (человек) ; eldre, aldrende
ползунок ; barn i krabbealderen
преклонного возраста ; tilårskommen
ребёнок ; barn n; onp. форма мн. barna
совершеннолетний ; myndig
несовершеннолетний ; umyndig
среднего возраста ; middelaldrende
старая карга ; hurpe
старец ; olding
старик ; gammel mann; den gamle (gammelt), avfeldig krek
дряхлый старик ; gamling
старикан ; gammel knark, (fjøs)nisse
старикашка ; gamla, kjærring
старуха ; gammel kvinne
старушка ; gammel knark, stabeis
старый хрыч ; gammel mann
тётка ; pusling
юнец ; yngling;
ungersvenn; svenn
бабушка, бабуля ; bestemor, mormor, farmor
бабушки и дедушки ; besteforeldre
батя ; ≈far
брат ; bror; brødren brødre
братишка ; lillebror
братья и сёстры ; søsken; onp. форма мн. søsknene
внук/внучка ; barnebarn n
двоюродный брат ; fetter
двоюродная сестра ; kusine
двоюродная тётя ; filletante
двоюродные братья и сёстры ; søskenbarn
двоюродный дядя ; filleonkel
дедушка, дед ; bestefar; morfar, farfar
дитя ; barn n — barna
дочь, дочка, доченька ; datter — døtre
дядя ; onkel
кузен foreldr. ; fetter
кузина ; kusine
мама, мамочка ; mamma
мать ; mor — mødren, mødre
отец ; far — faren, fedre
папа, папочка ; pappa
папаша, папан ; fattern
племянник ; nevø
племянница ; niese
правнук/правнучка ; oldebarn n
прабабушка ; oldemor
прадедушка ; oldefar
прапрадедушка ; tippoldefar
прапрабабушка ; tippoldemor
ребёнок ; barn n (onp. форма мн. barna)
родители ; foreldre (en forelder)
родной брат ; kjødelig bror
сестра ; søster — søstre
сестрёнка ; lille søster
сын, сынок ; sønn — sønner
тётя, тётка tal. ; tante (moster, faster)
